property_scrubbed	amount
Trump Hotel D.C.	242.0
Trump Hotel D.C.	242.0
Trump Restaurants LLC	240.0
BLT Prime D.C	239.1
Trump Hotel D.C	238.55
Trump Hotel Panama	237.61
Trump Restaurants LLC	234.0
Trump Restaurants LLC	231.98
Trump Hotel D.C	230.0
Trump Hotel D.C	230.0
Trump Hotel Las Vegas	227.7
Trump Hotel Panama	227.56
Trump Golf Club Miami	226.84
BLT Prime D.C	224.8
BLT Prime D.C	224.8
Trump Hotel NY	224.53
Trump Hotel D.C	224.0
Trump Hotel D.C	223.0
Trump Restaurants LLC	217.75
Trump Hotel D.C	217.5
Trump Hotel Las Vegas	217.15
BLT Prime D.C	216.7
Trump Grill NY	216.38
Trump Golf Club Miami	216.05
Trump Golf Club Miami	216.05
Trump Golf Club Miami	216.0
Trump Golf Club D.C.	214.42
Trump Hotel D.C	213.6
Trump Hotel D.C	211.1
Trump Hotel D.C	204.6
Trump Hotel Las Vegas	204.0
Trump Hotel Las Vegas	204.0
Trump Hotel Las Vegas	204.0
Trump Hotel D.C	203.4
Trump Hotel D.C	200.4
Trump Hotel Panama	200.09
Trump Hotel D.C	197.8
Trump Hotel D.C	197.0
Trump Hotel D.C.	196.56
Trump Hotel Panama	188.5
Trump Hotel Panama	188.49
Trump Hotel Las Vegas	186.17
Trump Hotel D.C	186.0
BLT Prime D.C	184.0
Trump Hotel Panama	182.42
BLT Prime D.C	181.8
Trump Hotel Las Vegas	181.41
Trump Golf Club Miami	179.02
Trump Golf Club Miami	179.02
BLT Prime D.C	175.27
Trump Hotel NY	174.81
Trump Grill NY	174.04
Trump Hotel D.C	173.2
Trump Hotel Las Vegas	171.43
Trump Soho NY	171.02
Trump Golf Club D.C	170.73
Trump Hotel Panama	169.43
Trump Hotel Las Vegas	165.82
Trump Hotel D.C.	162.8
Trump Hotel Panama	160.0
Trump Golf Club Miami	159.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel Panama	158.0
Trump Hotel D.C	156.8
BLT Prime D.C	150.0
Trump Golf Club Miami	150.0
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	148.53
Trump Hotel Las Vegas	147.96
Trump Hotel Las Vegas	147.96
Trump Soho NY	144.8
Trump Hotel Las Vegas	144.22
Trump Hotel Las Vegas	144.22
BLT Prime D.C	144.0
Trump Hotel Las Vegas	142.88
Trump Hotel Honolulu	141.88
Trump Hotel Las Vegas	141.73
Trump Hotel Las Vegas	141.73
Trump Hotel Las Vegas	140.67
Trump Hotel D.C.	138.42
Benjamin Bar & Lounge D.C	136.6
BLT Prime D.C	133.65
Trump Hotel D.C	131.2
Trump Hotel D.C	131.0
Trump Hotel D.C	130.4
Trump Hotel Las Vegas	129.25
Trump Hotel D.C	126.7
Trump Hotel Las Vegas	126.08
Trump Hotel D.C	120.1
Trump Hotel D.C.	120.1
BLT Prime D.C	120.0
Trump Hotel D.C	118.0
Trump Hotel D.C	117.9
BLT Prime D.C	116.9
Trump Hotel Las Vegas	115.65
Trump Hotel Las Vegas	115.65
Trump Hotel Las Vegas	115.65
Trump Hotel Las Vegas	115.65
BLT Prime D.C	112.6
Trump Hotel D.C	112.2
Trump Hotel D.C	112.0
Trump Golf Club D.C	109.1
BLT Prime D.C	104.9
Trump Hotel Las Vegas	104.0
BLT Prime D.C	103.6
Trump Hotel Honolulu	103.25
Trump Hotel Honolulu	103.25
BLT Prime D.C	102.5
Trump Hotel D.C.	100.9
Trump Soho NY	100.0
BLT Prime D.C	100.0
Trump Golf Club Miami	99.06
Trump Hotel D.C	98.9
Trump Golf Club D.C	98.83
Trump Hotel Las Vegas	98.64
Trump Restaurants LLC	95.81
Trump Grill NY	94.46
BLT Prime D.C	94.2
Trump Hotel Las Vegas	92.01
Trump Golf Club L.A.	90.56
BLT Prime D.C	90.2
Trump Golf Club Palm Beach	89.88
Trump Golf Club Palm Beach	89.88
Trump Hotel Las Vegas	86.7
Trump Hotel D.C	85.4
BLT Prime D.C	85.4
Trump Hotel D.C	85.12
Trump Hotel D.C.	84.4
Trump Hotel Las Vegas	84.0
Trump Hotel Las Vegas	84.0
Trump Hotel Honolulu	83.25
Trump Golf Club L.A.	79.0
BLT Prime D.C	77.7
BLT Prime D.C	77.5
Trump Hotel Las Vegas	77.12
Trump Hotel D.C.	76.9
Trump Hotel D.C	76.8
Trump Hotel D.C.	75.8
Trump Hotel D.C	75.7
Trump Hotel D.C	74.8
Benjamin Bar & Lounge D.C	73.8
Trump Hotel D.C	72.5
Trump Hotel NY	72.0
Trump Hotel Las Vegas	71.7
Trump Hotel Las Vegas	71.48
Trump Hotel D.C.	70.3
Other	70.21
Trump Hotel D.C	70.0
BLT Prime D.C	69.3
Trump Cafe NY	68.7
Trump Hotel D.C	67.8
Trump Hotel Las Vegas	65.76
Trump Cafe NY	65.71
Trump Hotel Honolulu	63.25
Trump Hotel D.C	63.2
Trump Soho NY	62.06
Trump Hotel D.C.	61.4
Trump Hotel D.C.	59.5
Trump Hotel NY	58.29
Trump Hotel D.C	57.4
Trump Hotel Honolulu	57.17
Trump Hotel D.C	56.3
Trump Hotel D.C.	56.0
Trump Hotel D.C.	56.0
Trump Hotel D.C.	56.0
Trump Hotel D.C.	56.0
Trump Hotel D.C.	56.0
Trump Hotel D.C.	56.0
Trump Hotel D.C	55.2
Trump Hotel Las Vegas	55.0
Trump Golf Club D.C	54.0
Trump Hotel D.C	53.1
BLT Prime D.C	50.9
Trump Hotel Las Vegas	48.18
Benjamin Bar & Lounge D.C	47.4
Trump Hotel D.C	47.0
Trump Hotel D.C.	46.6
Trump Hotel D.C	46.5
Trump Hotel D.C.	46.4
Trump Hotel D.C	45.4
Trump Hotel Las Vegas	44.93
Trump Grill NY	44.49
Trump Hotel Las Vegas	44.0
Trump Hotel Las Vegas	43.53
Trump Hotel D.C.	43.5
Trump Golf Club D.C	43.4
Trump Hotel D.C	43.2
BLT Prime D.C	42.0
Trump Hotel D.C.	41.96
Trump Hotel D.C.	41.96
Trump Hotel Las Vegas	41.66
Trump Hotel Panama	41.44
Trump Hotel NY	41.37
Trump Hotel D.C	40.8
Trump Hotel Honolulu	39.94
Trump Hotel D.C	38.6
Trump Hotel Panama	38.48
Trump Hotel Panama	38.17
Trump Hotel D.C.	35.09
Trump Hotel D.C.	35.09
Trump Hotel D.C.	35.09
Trump Hotel D.C.	35.09
Trump Hotel D.C.	35.09
Trump Hotel D.C.	35.09
Trump Hotel D.C.	35.09
Trump Golf Club L.A.	33.38
Trump Hotel D.C	33.0
Trump Hotel Vancouver	32.89
Trump Hotel Panama	32.15
Trump Hotel D.C.	32.0
Trump Grill NY	31.66
Trump Hotel Panama	31.33
Trump Hotel Panama	29.96
Trump Golf Club D.C	29.4
Trump Hotel D.C	29.2
Trump Hotel D.C.	28.0
Trump Hotel Panama	27.94
Trump Hotel D.C	27.0
Trump Hotel Chicago	25.65
Trump Hotel Las Vegas	25.55
Trump Hotel Panama	25.51
Trump Cafe NY	25.12
Trump Hotel D.C.	25.0
Trump Hotel Panama	23.54
Trump Hotel D.C	22.8
Trump Hotel Las Vegas	22.49
Trump Hotel D.C	22.0
Trump Hotel Panama	22.0
Trump Hotel D.C.	22.0
Trump Hotel D.C.	22.0
Trump Soho NY	21.78
Trump Hotel Las Vegas	21.49
Trump Grill NY	21.07
Trump Hotel D.C.	20.9
Trump Grill NY	20.4
Trump Hotel Las Vegas	20.3
Trump Golf Club L.A.	20.0
Benjamin Bar & Lounge D.C	19.6
Trump Hotel NY	19.51
Trump Hotel Panama	19.26
Trump Hotel Panama	19.2
Trump Grill NY	18.72
Trump Hotel Las Vegas	18.4
Trump Golf Club D.C	18.38
Trump Grill NY	18.35
BLT Prime D.C	18.2
Trump Hotel Panama	18.17
Trump Hotel Las Vegas	17.98
Trump Hotel Panama	17.16
Trump Hotel D.C.	16.5
Trump Hotel D.C.	16.2
Trump Hotel D.C	16.1
Trump Golf Club Miami	16.0
Trump Grill NY	15.96
Trump Hotel NY	15.95
Trump Grill NY	15.51
Trump Grill NY	15.22
Trump Hotel Las Vegas	15.16
Trump Hotel NY	15.1
Trump Grill NY	15.0
Trump Cafe NY	14.46
Trump Hotel D.C	14.43
Trump Hotel NY	14.2
Trump Hotel NY	14.2
Trump Hotel Las Vegas	14.07
Trump Cafe NY	14.0
Trump Golf Club Miami	14.0
Trump Grill NY	13.83
Trump Hotel NY	11.9
Trump Hotel Panama	11.77
Trump Hotel Las Vegas	11.74
Trump Hotel NY	11.65
Trump Hotel NY	11.52
Trump Hotel Panama	11.42
Trump Grill NY	11.39
Trump Hotel NY	11.09
Trump Hotel D.C	11.0
Trump Hotel Las Vegas	10.74
Trump Grill NY	10.64
Trump Hotel NY	10.6
Trump Cafe NY	10.41
Trump Grill NY	10.21
Trump Cafe NY	10.21
Trump Grill NY	10.02
Trump Grill NY	10.02
Other	10.0
Trump Hotel Panama	10.0
Trump Grill NY	9.78
Trump Hotel Panama	9.63
Trump Golf Club L.A.	9.46
Trump Golf Club L.A.	9.45
Trump Hotel NY	9.44
Trump Hotel NY	9.01
Trump Hotel NY	9.01
Trump Hotel NY	9.01
Trump Cafe NY	9.0
Trump Cafe NY	9.0
Trump Hotel Las Vegas	9.0
Trump Grill NY	8.71
Trump Grill NY	8.64
Trump Hotel D.C	8.6
Trump Hotel Las Vegas	8.5
Trump Hotel Panama	8.21
Trump Grill NY	6.88
Trump Cafe NY	6.8
Trump Grill NY	6.8
Trump Hotel Panama	6.71
Trump Hotel Chicago	6.69
Trump Grill NY	6.64
Trump Hotel NY	6.48
Trump Hotel NY	5.99
Trump Cafe NY	5.82
Trump Hotel NY	5.62
Trump Hotel NY	5.55
Trump Hotel Panama	5.35
Trump Hotel NY	4.9
Trump Grill NY	4.73
Trump Grill NY	4.42
Trump Hotel NY	3.73
Trump Restaurants LLC	3.27
Trump Hotel Panama	3.0
Trump Hotel NY	2.7
Trump Hotel NY	2.12
Trump Hotel NY	2.08
The Trump Corporation	-428.53
Trump Ice LLC	-828.26
Trump Golf Club Miami	-11541.2
