type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
government	Department of Defense	Feb 25, 2017	262.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	262.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	305.49	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	262.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	269.26	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	262.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
government	Department of Defense	Feb 25, 2017	262.0	Lodging	Trump Hotel Las Vegas	Hotels-Lodging	Trump International Hotel Las Vegas	Las Vegas	NV
