type	source	date	amount	purpose_scrubbed	property_scrubbed	purpose	property	city	state
FEC	Donald J. Trump for President, Inc.	Apr 30, 2015	1380.54	Lodging	Trump Hotel NY	TTW - TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL AND TOWER	New York	NY
FEC	Donald J. Trump for President, Inc.	May 5, 2015	9583.33	Rent	Trump Tower Commercial LLC	TTW - RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	37993.04	Event	The Trump Corporation	TTW  - ONE-TIME REIMBURSEMENT FOR FACILITY, RESOURCES & DOMAIN NAMES	THE TRUMP CORPORATION	New York	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	3240.96	Lodging	Trump Soho NY	TTW - TRAVEL: LODGING	TRUMP SOHO	New York	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	9583.33	Rent	Trump Tower Commercial LLC	TTW - RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jun 16, 2015	506486.0	Travel	Tag Air, Inc.	TTW - TRAVEL: AIRFARE - FMV	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Jun 17, 2015	814.24	Lodging	Trump Soho NY	TRAVEL: LODGING	TRUMP SOHO	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 1, 2015	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 1, 2015	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 2, 2015	514.88	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jul 3, 2015	516.39	Lodging	Trump Hotel NY	TRAVEL: LODGING [MCMULLEN: SB23.7057]	TRUMP INTERNATIONAL HOTEL	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 6, 2015	9583.33	Rent	The Trump Corporation	RENT	THE TRUMP CORPORATION	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 9, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jul 11, 2015	4049.62	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 23, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jul 25, 2015	4049.64	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Jul 29, 2015	25874.17	Rent	Trump Tower Commercial LLC	RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jul 30, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Aug 1, 2015	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 1, 2015	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 6, 2015	4958.38	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Aug 8, 2015	1713.32	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 12, 2015	422730.0	Travel	Tag Air, Inc.	TRAVEL: AIRFARE	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Aug 13, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Aug 18, 2015	9.0	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 19, 2015	9.0	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 20, 2015	4127.33	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Aug 20, 2015	35457.5	Rent	Trump Tower Commercial LLC	RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Aug 22, 2015	3063.2	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 24, 2015	25.12	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 24, 2015	14.46	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 26, 2015	1483.0	Rent	Trump Restaurants LLC	RENT	TRUMP RESTAURANTS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 27, 2015	4164.59	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Aug 28, 2015	6.8	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Aug 31, 2015	702.24	Food	Trump Restaurants LLC	MEETING EXPENSE: MEALS	TRUMP RESTAURANTS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 1, 2015	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 1, 2015	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 2, 2015	286.73	Lodging	Trump Hotel Las Vegas	TRAVEL: LODGING [AMEX: SB23.6878]	TRUMP HOTEL	Las Vegas	NV
FEC	Donald J. Trump for President, Inc.	Sep 3, 2015	5.82	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 3, 2015	3954.54	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Sep 3, 2015	35457.5	Rent	Trump Tower Commercial LLC	RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Sep 5, 2015	2460.94	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 10, 2015	14.0	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 10, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Sep 11, 2015	10.41	Food	Trump Cafe NY	MEETING EXPENSE: MEALS [AMEX: SB23.248388]	TRUMP CAFE	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 17, 2015	15.51	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248389]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 17, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Sep 18, 2015	6.64	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248389]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 19, 2015	2460.94	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 21, 2015	335.59	Lodging	Trump Hotel Las Vegas	TRAVEL: LODGING [C&M: SB23.6896]	TRUMP INTL HOTEL	Las Vegas	NV
FEC	Donald J. Trump for President, Inc.	Sep 23, 2015	4.42	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248389]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 24, 2015	94.46	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248389]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 24, 2015	9.78	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248389]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 24, 2015	4591.67	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Sep 25, 2015	35457.5	Rent	The Trump Corporation	RENT	THE TRUMP CORPORATION	New York	NY
FEC	Donald J. Trump for President, Inc.	Sep 25, 2015	300696.0	Travel	Tag Air, Inc.	TRAVEL: AIRFARE	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Oct 1, 2015	6.88	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 1, 2015	18.35	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 1, 2015	3548.49	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Oct 1, 2015	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 1, 2015	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 2, 2015	10.21	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 5, 2015	4.73	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 6, 2015	15.22	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 7, 2015	2460.94	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 8, 2015	3499.34	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Oct 13, 2015	10.02	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 15, 2015	1216.27	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Oct 16, 2015	10.02	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 19, 2015	100.0	Food	Trump Soho NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP SOHO NEW YORK	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 20, 2015	174.04	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 21, 2015	2460.94	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 22, 2015	11.39	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 22, 2015	8.64	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 22, 2015	7990.94	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Oct 26, 2015	21.07	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 27, 2015	20.4	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 27, 2015	8.71	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248391]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Oct 29, 2015	5574.93	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Nov 1, 2015	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 1, 2015	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 2, 2015	15.0	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 3, 2015	10.64	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 4, 2015	2544.01	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 5, 2015	13.83	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 5, 2015	6250.41	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Nov 6, 2015	258930.0	Travel	Tag Air, Inc.	TRAVEL: AIR	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Nov 9, 2015	18.72	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 9, 2015	35457.5	Rent	Trump Tower Commercial LLC	RENT	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Nov 11, 2015	6.8	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 11, 2015	44.49	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 12, 2015	2991.27	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Nov 16, 2015	15.96	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 18, 2015	2544.01	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 19, 2015	4931.32	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Nov 23, 2015	31.66	Food	Trump Grill NY	MEETING EXPENSE: MEALS [AMEX: SB23.248392]	TRUMP GRILL	New York	NY
FEC	Donald J. Trump for President, Inc.	Nov 25, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Nov 28, 2015	2544.01	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Dec 1, 2015	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Dec 1, 2015	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Dec 1, 2015	35457.5	Rent	Trump Tower Commercial LLC	RENT AND UTILITIES	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Dec 1, 2015	37500.0	Travel	Tag Air, Inc.	TRAVEL: AIR	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Dec 3, 2015	2574.43	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Dec 3, 2015	3000.0	Rent	Trump Restaurants LLC	RENT AND UTILITIES	TRUMP RESTAURANTS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Dec 10, 2015	2574.43	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Dec 12, 2015	2544.01	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Dec 17, 2015	2531.19	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Dec 24, 2015	2426.63	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Dec 26, 2015	2529.11	Payroll	Trump Payroll Corp	PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Dec 30, 2015	530160.0	Travel	Tag Air, Inc.	TRAVEL: AIR	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Dec 31, 2015	2426.63	Payroll	Trump Tower Commercial LLC	PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jan 1, 2016	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jan 1, 2016	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jan 4, 2016	3000.0	Rent	Trump Restaurants LLC	RENT AND UTILITIES	TRUMP RESTAURANTS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jan 4, 2016	35457.5	Rent	Trump Tower Commercial LLC	RENT AND UTILITIES	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jan 5, 2016	810.24	Lodging	Trump Soho NY	TRAVEL: LODGING	TRUMP SOHO	New York	NY
FEC	Donald J. Trump for President, Inc.	Jan 7, 2016	2693.63	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jan 9, 2016	2620.86	Payroll	Trump Payroll Corp	IN-KIND: PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Jan 12, 2016	5000.0	Event	Trump Hotel D.C.	FACILITY RENTAL	TRUMP OLD POST OFFICE LLC	Washington	DC
FEC	Donald J. Trump for President, Inc.	Jan 12, 2016	240.0	Rent	Trump Restaurants LLC	RENT AND UTILITIES	TRUMP RESTAURANTS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Jan 14, 2016	2693.63	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jan 21, 2016	2692.72	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jan 23, 2016	2371.78	Payroll	Trump Payroll Corp	IN-KIND: PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Jan 26, 2016	25927.19	Event	Trump Golf Club Miami	FACILITY RENTAL	TRUMP NATIONAL DORAL	Miami	FL
FEC	Donald J. Trump for President, Inc.	Jan 28, 2016	2679.33	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jan 30, 2016	35457.5	Rent	Trump Tower Commercial LLC	RENT AND UTILITIES	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Jan 31, 2016	537436.0	Travel	Tag Air, Inc.	TRAVEL: AIR	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Feb 1, 2016	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Feb 1, 2016	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Feb 4, 2016	2587.23	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Feb 10, 2016	3360.15	Payroll	Trump Payroll Corp	IN-KIND: PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Feb 11, 2016	2587.23	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Feb 18, 2016	2587.24	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Feb 24, 2016	3347.59	Payroll	Trump Payroll Corp	IN-KIND: PRE-PAID PAYROLL	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Feb 24, 2016	641840.0	Travel	Tag Air, Inc.	TRAVEL: AIR	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Feb 25, 2016	2587.24	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Mar 1, 2016	6000.0	Rent	Trump CPS LLC	IN-KIND: RENT	TRUMP CPS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Mar 1, 2016	9000.0	Rent	Trump Plaza LLC	IN-KIND: RENT	TRUMP PLAZA LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Mar 3, 2016	2536.33	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Mar 5, 2016	3706.98	Payroll	Trump Payroll Corp	IN-KIND: PRE-PAID PAYROLL (SEE MEMOS BELOW)	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Mar 7, 2016	2452.45	Lodging	Trump Hotel Chicago	TRAVEL: LODGING	TRUMP INTERNATIONAL HOTEL AND TOWER CHICAGO	Chicago	IL
FEC	Donald J. Trump for President, Inc.	Mar 10, 2016	2536.33	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Mar 10, 2016	35457.5	Rent	Trump Tower Commercial LLC	RENT AND UTILITIES	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Mar 17, 2016	2536.33	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Mar 18, 2016	399.73	Food	Trump Ice LLC	MEETING EXPENSE: BEVERAGES	TRUMP ICE LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Mar 19, 2016	3706.98	Payroll	Trump Payroll Corp	IN-KIND: PRE-PAID PAYROLL (SEE MEMOS BELOW)	TRUMP PAYROLL CORP	New York	NY
FEC	Donald J. Trump for President, Inc.	Mar 22, 2016	1844.2	Event	Trump Hotel NY	FACILITY RENTAL/CATERING [CONSTANTIN: SB23455490]	TRUMP INTERNATIONAL HOTEL	New York	NY
FEC	Donald J. Trump for President, Inc.	Mar 24, 2016	2536.34	Payroll	Trump Tower Commercial LLC	IN-KIND: PRE-PAID PAYROLL	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
FEC	Donald J. Trump for President, Inc.	Mar 24, 2016	476426.0	Travel	Tag Air, Inc.	TRAVEL: AIR	TAG AIR, INC.	West Palm Beach	FL
FEC	Donald J. Trump for President, Inc.	Mar 29, 2016	1053.0	Event	Eric Trump Wine Manufacturing, LLC	FACILITY RENTAL/CATERING	ERIC TRUMP WINE MANUFACTURING, LLC	Charlottesville	VA
FEC	Donald J. Trump for President, Inc.	Mar 29, 2016	1000.0	Rent	Trump Restaurants LLC	RENT AND UTILITIES	TRUMP RESTAURANTS LLC	New York	NY
FEC	Donald J. Trump for President, Inc.	Mar 29, 2016	35457.5	Rent	Trump Tower Commercial LLC	RENT AND UTILITIES	TRUMP TOWER COMMERCIAL LLC	Hicksville	NY
